,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资所收到的现金,取得投资收益所收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加:期初现金及现金等价物余额,六、期末现金及现金等价物余额,净利润,少数股东权益,未确认的投资损失,资产减值准备,固定资产折旧、油气资产折耗、生产性物资折旧,无形资产摊销,长期待摊费用摊销,待摊费用的减少,预提费用的增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,递延收益增加（减：减少）,预计负债,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,已完工尚未结算款的减少(减:增加),已结算尚未完工款的增加(减:减少),其他,经营活动产生现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,现金及现金等价物的净增加额,stock_code
2015-03-31,"301,186.58","4,705.22","20,692.83","326,584.63","268,442.35","18,896.60","3,393.30","16,969.71","307,701.97","18,882.67","6,247.53",--,--,--,--,"6,247.53","15,797.16",--,--,"2,140.76","17,937.93","-11,690.40",--,--,"41,306.79",--,"15,690.74","56,997.54","51,397.65","2,181.79",700.00,--,"53,579.44","3,418.10",219.19,"10,829.56","190,491.57","201,321.13",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,600522
2016-12-31,"2,224,071.01","22,770.15","45,027.28","2,291,868.44","1,944,972.61","97,730.22","75,660.61","49,738.32","2,168,101.76","123,766.68","8,830.28",652.64,"2,229.82",--,"26,443.20","38,155.94","186,504.52","10,233.95","5,510.76",138.50,"202,387.73","-164,231.79","1,980.00","1,980.00","284,016.48","89,827.50","22,585.23","398,409.21","285,114.67","20,032.20",804.92,"27,770.86","332,917.73","65,491.48","2,180.36","27,206.73","310,523.18","337,729.90","159,547.22",--,--,"5,296.95","37,332.59","2,556.32",106.10,--,--,-235.96,--,-365.06,--,--,"7,151.77","-35,736.61","-2,264.05",19.31,"-40,310.68","-169,817.69","160,347.98",--,--,138.50,"123,766.68",--,--,--,"337,729.90","310,523.18",--,--,"27,206.73",600522
2016-09-30,"1,571,278.92","16,387.55","80,438.32","1,668,104.78","1,431,785.45","71,603.48","54,525.73","90,402.27","1,648,316.93","19,787.85","9,998.19",652.64,6.40,--,"8,506.54","19,163.77","108,673.74","6,418.50","8,400.00","6,704.76","130,196.99","-111,033.22",980.00,980.00,"260,458.34","89,827.50","17,572.59","368,838.43","248,413.55","17,215.82",804.92,"15,084.53","280,713.91","88,124.52",-760.77,"-3,881.62","310,523.18","306,641.56",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,600522
2016-06-30,"976,852.75","11,640.88","42,645.11","1,031,138.75","874,310.86","50,184.51","34,371.39","46,786.22","1,005,652.97","25,485.77","8,602.84",652.64,3.40,--,"7,560.40","16,819.28","70,015.29","6,418.50","8,400.00","5,712.92","90,546.71","-73,727.43",--,--,"157,927.12","49,887.50","17,572.59","225,387.21","132,102.88","14,167.37",804.92,"15,084.53","161,354.79","64,032.43",-344.01,"15,446.76","310,523.18","325,969.94","73,494.78",--,--,"4,935.91","17,107.36","1,043.27",140.61,--,--,10.44,--,"-2,298.57",--,--,"3,284.53","-18,300.60","-1,386.20","-2,085.54","-49,213.00","-142,504.52","141,257.30",--,--,--,"25,485.77",--,--,--,"325,969.94","310,523.18",--,--,"15,446.76",600522
2016-03-31,"422,824.30","7,259.03","25,489.22","455,572.56","441,998.87","30,279.07","12,884.97","24,238.68","509,401.60","-53,829.04","1,167.91",--,--,--,"6,404.68","7,572.59","31,726.58",--,"8,400.00","4,135.66","44,262.24","-36,689.65",--,--,"58,517.35",--,"17,572.59","76,089.94","54,479.61","1,332.02",--,--,"55,811.64","20,278.30",-398.53,"-70,638.92","310,523.18","239,884.26",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,600522
2017-12-31,"2,851,771.24","24,653.57","37,932.19","2,914,356.99","2,540,657.89","117,915.96","93,970.05","55,447.94","2,807,991.84","106,365.15","13,573.63",941.64,463.16,--,"19,046.07","34,024.50","208,959.41",939.13,--,525.51,"210,424.06","-176,399.56","432,437.26","1,875.00","255,481.71",--,"9,806.25","697,725.22","329,064.21","41,416.12",358.04,"2,010.95","372,491.27","325,233.95","-11,870.13","243,329.42","337,729.90","581,059.32","179,754.66",--,--,"3,303.14","53,673.26","2,998.48",114.88,--,--,163.11,2.43,"4,329.84",--,--,"20,713.76","-34,753.76","-4,168.35",-546.86,"-96,291.05","-132,828.04","109,629.92",--,--,269.72,"106,365.15",--,--,--,"581,059.32","337,729.90",--,--,"243,329.42",600522
2017-09-30,"2,092,514.15","14,764.44","55,356.24","2,162,634.83","1,966,946.92","91,734.46","77,645.90","80,246.71","2,216,573.98","-53,939.16","10,060.90",596.86,21.53,--,"5,318.17","15,997.46","109,760.34","1,871.15",--,"5,631.23","117,262.72","-101,265.26","432,316.00",850.00,"212,774.52",--,"4,873.06","649,963.58","301,022.37","38,584.88",326.44,"2,363.44","341,970.69","307,992.89","-2,339.43","150,449.04","337,729.90","488,178.94",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,600522
2017-06-30,"1,270,332.56","10,688.28","35,760.14","1,316,780.98","1,260,269.81","65,170.26","48,357.70","48,643.44","1,422,441.20","-105,660.22","8,828.93",596.86,21.31,--,"5,010.68","14,457.79","75,624.57",273.47,--,"3,662.56","79,560.60","-65,102.82","430,616.00",500.00,"153,080.28",--,"4,873.06","588,569.34","241,025.97","5,650.05",326.44,--,"246,676.02","341,893.32",-511.67,"170,618.61","337,729.90","508,348.52","95,496.74",--,--,"4,503.99","21,897.89","1,450.69",49.65,--,--,122.17,--,"4,722.11",--,--,"6,494.66","-10,530.47",-331.57,-649.07,"-77,308.15","-258,023.27","106,311.88",--,--,132.52,"-105,660.22",--,--,--,"508,348.52","337,729.90",--,--,"170,618.61",600522
2017-03-31,"486,296.87","6,093.11","15,917.01","508,306.99","566,314.62","38,904.36","16,103.61","21,916.75","643,239.33","-134,932.34","4,408.70",--,3.06,--,"3,856.27","8,268.03","40,813.71",13.58,--,"2,719.62","43,546.91","-35,278.88","430,616.00",500.00,"25,864.41",--,--,"456,480.41","168,546.06","3,593.95",--,--,"172,140.01","284,340.41",-419.12,"113,710.07","337,729.90","451,439.97",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,600522
2018-09-30,"2,367,288.64","22,104.00","52,861.01","2,442,253.66","2,236,729.00","107,085.59","73,247.34","83,704.47","2,500,766.40","-58,512.74","7,899.96","1,579.37",6.60,--,"19,958.11","29,444.04","189,222.78","23,270.22","48,401.53","26,810.29","287,704.82","-258,260.79","15,225.00","1,225.00","437,360.22",--,"1,300.00","453,885.22","207,268.98","41,542.16",360.67,"20,705.74","269,516.88","184,368.34","7,174.04","-125,231.15","590,446.30","465,215.15",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,600522
2018-06-30,"1,538,760.90","12,031.61","28,628.93","1,579,421.44","1,524,040.62","76,461.47","53,133.52","40,401.38","1,694,036.99","-114,615.55","6,394.66","1,230.72",5.94,--,"13,767.90","21,399.22","114,296.76","23,260.73",--,"13,870.38","151,427.87","-130,028.65",--,--,"277,877.43",--,--,"277,877.43","158,467.56","7,576.97",331.67,"9,950.15","175,994.68","101,882.75","1,492.86","-141,268.60","581,059.32","439,790.72","106,386.45",--,--,"6,365.82","33,421.41","1,607.21",90.36,--,--,19.78,18.49,"1,024.84",--,--,"6,701.75","-8,113.05","-2,277.09",-50.45,"-39,650.23","-293,463.06","73,138.22",--,--,164.00,"-114,615.55",--,--,--,"439,790.72","581,059.32",--,--,"-141,268.60",600522
2018-03-31,"640,487.08","7,113.45","12,280.74","659,881.27","626,668.51","45,884.54","17,768.14","23,262.66","713,583.85","-53,702.58","5,556.94",723.69,0.10,--,"1,150.53","7,431.26","52,682.00","18,183.69",--,"3,238.16","74,103.85","-66,672.59",--,--,"148,146.30",--,--,"148,146.30","67,864.83","3,401.88",--,--,"71,266.71","76,879.59","-9,744.67","-53,240.25","581,059.32","527,819.07",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,600522
