,一、营业总收入,营业收入,二、营业总成本,营业成本,营业税金及附加,销售费用,管理费用,财务费用,资产减值损失,公允价值变动收益,投资收益,其中:对联营企业和合营企业的投资收益,汇兑收益,三、营业利润,加:营业外收入,减：营业外支出,其中：非流动资产处置损失,四、利润总额,减：所得税费用,五、净利润,归属于母公司所有者的净利润,少数股东损益,基本每股收益(元/股),稀释每股收益(元/股),七、其他综合收益,八、综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,stock_code
2016-09-30,"1,458,073.56","1,458,073.56","1,348,275.24","1,196,364.85","4,700.75","56,712.30","79,756.64","5,079.89","5,660.82","-2,226.14","25,101.17",834.89,--,"132,673.35","6,695.87",571.86,313.30,"138,797.35","23,788.12","115,009.23","114,498.80",510.43,0.4386,0.4386,"28,569.24","143,578.47","142,879.88",698.59,600522
2016-06-30,"920,357.96","920,357.96","853,342.47","752,936.74","3,419.03","37,417.02","52,086.63","2,547.15","4,935.91","2,298.57","18,300.60",365.09,--,"87,614.66","3,009.64",175.96,15.02,"90,448.34","16,953.56","73,494.78","72,767.56",727.22,0.2787,0.2787,"-4,598.64","68,896.14","67,980.76",915.38,600522
2016-03-31,"431,490.78","431,490.78","403,499.79","356,927.58",843.50,"17,422.74","24,247.51","2,275.22","1,783.25","1,986.04","5,783.48",180.76,--,"35,760.51","2,054.71",165.62,15.02,"37,649.59","5,851.68","31,797.91","31,535.55",262.36,0.3020,0.3020,"-4,916.27","26,881.64","26,548.71",332.92,600522
2017-12-31,"2,710,139.57","2,710,139.57","2,551,183.18","2,291,033.01","8,510.64","88,117.74","139,465.45","18,447.36","5,608.98","-4,329.84","34,753.76",597.90,--,"208,997.65",837.16,766.05,--,"209,068.75","29,314.10","179,754.66","178,836.38",918.27,0.5910,0.5910,"-11,977.22","167,777.44","166,891.28",886.16,600522
2017-09-30,"1,936,533.15","1,936,533.15","1,804,004.97","1,614,035.60","6,476.82","69,904.81","97,124.91","11,164.96","5,297.86",-474.45,"28,391.53",971.23,--,"160,581.40","11,426.68",574.97,137.36,"171,433.11","26,898.55","144,534.56","143,880.89",653.67,0.4770,0.4770,"-12,308.67","132,225.89","131,563.00",662.89,600522
2017-06-30,"1,230,110.18","1,230,110.18","1,140,365.39","1,022,775.73","4,402.06","45,233.02","57,280.69","5,147.40","5,526.49","-4,722.11","21,389.35",830.28,--,"106,412.03","7,704.76",439.60,128.23,"113,677.20","18,180.46","95,496.74","95,057.58",439.16,0.3180,0.3180,"-17,701.75","77,794.99","77,395.12",399.86,600522
2017-03-31,"539,341.23","539,341.23","503,691.44","448,330.28","1,622.95","21,351.32","26,070.26","1,945.29","4,371.35",944.79,"12,037.40",275.92,--,"48,631.98","4,307.00",166.14,71.49,"52,772.83","8,194.69","44,578.14","44,537.98",40.16,0.1528,0.1528,"-7,298.42","37,279.72","37,261.56",18.17,600522
2018-09-30,"2,366,074.07","2,366,074.07","2,190,412.45","1,989,008.33","7,706.99","72,258.05","35,366.52",-967.28,"8,641.02",-522.73,"8,854.44","2,230.38",--,"195,940.00",957.54,"1,441.41",--,"195,456.14","31,509.09","163,947.05","163,361.83",585.21,0.5328,0.5328,"-12,210.26","151,736.79","151,387.24",349.55,600522
2018-06-30,"1,570,564.15","1,570,564.15","1,459,378.24","1,322,583.54","4,888.00","46,127.82","74,534.14","4,276.61","6,968.12","-1,024.84","8,113.05","1,002.76",--,"126,080.65",671.87,462.39,18.49,"126,290.12","19,903.67","106,386.45","106,107.30",279.15,0.3460,0.3460,"-24,491.85","81,894.60","81,842.58",52.01,600522
2018-03-31,"662,099.60","662,099.60","619,656.69","549,453.24","2,422.31","20,836.81","34,487.82","9,932.55","2,523.97","2,553.23","3,454.70",403.02,--,"53,167.10",178.29,319.69,--,"53,025.69","7,914.21","45,111.49","44,772.32",339.17,0.1460,0.1460,"-11,288.71","33,822.78","33,734.57",88.20,600522
