,货币资金,交易性金融资产,衍生金融资产,应收票据,应收账款,预付款项,应收利息,应收股利,其他应收款,买入返售金融资产,存货,划分为持有待售的资产,一年内到期的非流动资产,待摊费用,待处理流动资产损益,其他流动资产,流动资产合计,发放贷款及垫款,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产净额,在建工程,工程物资,固定资产清理,生产性生物资产,公益性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,交易性金融负债,应付票据,应付账款,预收款项,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,预提费用,一年内的递延收益,应付短期债券,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,长期应付职工薪酬,专项应付款,预计非流动负债,递延所得税负债,长期递延收益,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),资本公积,减：库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未分配利润,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,stock_code
2013-12-31,"2,062,546.32",--,--,"1,571,100.68","432,683.58","159,146.95","8,770.71",772.81,"28,182.07",--,"686,400.34",--,--,--,--,"5,097.42","4,954,700.89",--,571.98,--,--,"271,264.94","2,625.20","545,305.87","160,365.72",--,--,--,--,--,"66,920.94",--,612.30,"8,653.59","90,564.53",--,"1,146,885.08","6,101,585.97","117,386.93",--,"1,189,239.41","1,396,322.69","352,148.17",--,"105,777.62","124,958.83",730.41,"15,070.07","496,502.96",--,--,--,"2,430.07",--,"3,800,567.17",--,"71,683.52",--,--,--,"216,297.57","1,430.47",--,"12,193.13","301,604.69","4,102,171.86","272,083.59","57,836.94",--,--,--,"194,919.34",--,"917,263.64","1,446,710.25","552,703.87","1,999,414.12","6,101,585.97",600690
2013-09-30,"1,959,279.13",--,--,"1,563,466.61","623,630.83","118,793.34","8,249.09","1,172.81","122,028.38",--,"522,362.09",--,--,--,--,"2,560.68","4,921,542.95",--,923.57,--,--,"257,144.95","2,686.86","543,185.97","150,599.90",--,--,--,--,--,"56,427.63",--,612.30,"7,393.10","91,295.80",--,"1,110,270.08","6,031,813.03","109,135.15",--,"1,112,810.13","1,402,126.23","367,308.60",--,"114,954.81","194,475.26","2,579.28","34,451.39","534,441.49",--,--,--,--,--,"3,872,282.34","4,171.39","72,125.44",--,--,--,"205,050.00","1,581.52",--,"9,770.37","292,698.71","4,164,981.05","269,590.95","43,021.88",--,--,--,"172,737.51",--,"873,058.62","1,362,922.10","503,909.89","1,866,831.99","6,031,813.03",600690
2013-06-30,"1,818,015.73",--,--,"1,300,773.06","481,380.53","153,871.75","7,015.81",--,"65,723.85",--,"541,110.74",--,--,--,--,"4,136.58","4,372,028.05",--,876.99,--,--,"244,812.22","5,154.61","530,506.86","122,166.12",--,--,--,--,--,"53,334.20",--,612.30,"7,318.74","81,062.13",--,"1,045,844.17","5,417,872.23","106,682.10",--,"1,044,693.14","1,324,871.09","227,186.39",--,"107,674.69","112,784.72","2,551.27","39,361.41","467,576.49",--,--,--,--,--,"3,433,381.30","5,981.78","70,714.37",--,--,--,"207,013.31","1,320.69",--,"9,621.87","294,652.02","3,728,033.32","269,590.95","41,419.81",--,--,--,"172,737.51",--,"740,354.67","1,228,089.39","461,749.52","1,689,838.91","5,417,872.23",600690
2013-03-31,"1,785,891.27",--,--,"1,225,074.40","491,085.38","100,436.56","6,183.44",--,"48,590.23",--,"714,065.87",--,--,--,--,"7,044.18","4,378,371.34",--,967.37,--,--,"235,104.49","5,319.06","508,750.65","111,655.74",--,--,--,--,--,"56,616.93",--,--,"7,276.54","85,529.24",--,"1,011,220.01","5,389,591.35","108,996.15",--,"951,921.61","1,389,574.96","233,045.92",--,"88,032.77","158,799.10","1,657.55","5,148.89","509,336.53",--,--,--,--,--,"3,446,513.49","6,003.45","71,182.85",--,--,--,"205,483.41","1,289.31",--,"9,486.52","293,445.54","3,739,959.03","269,590.95","36,776.87",--,--,--,"172,737.51",--,"699,148.27","1,181,487.63","468,144.69","1,649,632.32","5,389,591.35",600690
2014-12-31,"2,864,403.38",--,--,"1,643,489.22","529,578.17","74,707.88","17,848.81","5,452.45","27,280.07",--,"755,791.57",--,--,--,--,"28,900.05","5,947,451.59",--,"163,128.16",--,--,"335,660.97","3,058.29","697,069.78","108,585.79",--,"3,140.04",--,--,--,"97,238.76","6,834.18","7,453.02","10,292.67","89,470.64","31,261.80","1,553,194.11","7,500,645.71","100,867.38",--,"1,412,664.77","1,348,752.45","421,799.98",--,"106,206.00","121,647.59",715.22,"14,731.24","635,421.03",--,--,--,--,--,"4,162,805.67",--,"180,070.06",--,--,--,"215,725.38","11,761.07","13,570.75","4,716.07","425,843.34","4,588,649.01","304,593.51","354,187.24",610.10,"37,870.15",--,"202,410.55",--,"1,285,551.11","2,184,002.46","727,994.23","2,911,996.70","7,500,645.71",600690
2014-09-30,"2,884,332.91",--,--,"2,015,086.35","526,803.83","187,900.46","23,446.68","9,245.18","31,965.55",--,"572,756.62",--,--,--,--,"29,413.69","6,280,951.25",--,"71,442.72",--,--,"320,389.54","2,463.27","542,225.48","209,659.90",--,"2,664.28",--,--,--,"85,845.29","4,990.83","6,553.02","8,737.92","101,301.55",--,"1,356,273.80","7,637,225.05","96,209.50",--,"1,304,974.75","1,571,415.77","401,121.00",--,"98,154.52","185,680.55","2,445.07","14,924.21","607,727.95",--,--,--,"2,460.43",--,"4,285,113.75",--,"176,611.90",--,--,--,"217,750.10","7,459.69",--,"13,868.79","415,690.48","4,700,804.23","302,992.99","430,011.29",610.10,--,--,"195,289.92",--,"1,215,136.06","2,146,491.90","789,928.92","2,936,420.83","7,637,225.05",600690
2014-06-30,"2,432,759.48",--,--,"1,642,803.97","543,364.91","197,753.09","19,834.82","1,875.26","33,490.55",--,"570,019.67",--,--,--,--,"32,418.50","5,474,320.25",--,571.80,--,--,"305,013.84","2,519.17","537,768.57","226,639.83",--,--,--,--,--,"86,491.01","2,402.98","6,553.02","10,290.09","89,346.27",--,"1,267,596.58","6,741,916.83","108,678.10",--,"1,172,703.58","1,582,131.83","281,868.24",--,"99,977.90","113,962.53","2,409.36","27,057.46","574,042.00",--,--,--,"2,534.58",--,"3,965,365.59",--,"176,317.31",--,--,--,"217,019.00","2,184.60",--,"12,590.12","408,111.02","4,373,476.61","272,083.59","115,637.08",--,--,--,"195,289.92",--,"1,051,240.31","1,636,830.60","731,609.62","2,368,440.22","6,741,916.83",600690
2014-03-31,"2,405,541.70",--,--,"1,500,942.52","517,766.27","207,804.51","12,944.57",772.81,"35,214.57",--,"656,560.69",--,--,--,--,"8,357.16","5,345,904.80",--,565.19,--,--,"286,428.31","2,569.30","534,160.00","199,803.61",--,--,--,--,--,"81,854.68",--,"8,969.29","9,188.00","92,126.50",--,"1,215,664.87","6,561,569.67","117,480.19",--,"1,156,159.92","1,437,714.88","388,834.90",--,"95,464.96","145,005.90","1,577.04","15,027.62","544,446.22",--,--,--,"2,516.50",--,"3,904,228.13",--,"138,830.10",--,--,--,"217,019.00","3,389.11",--,"11,871.58","371,109.79","4,275,337.92","272,083.59","125,241.15",--,--,--,"194,919.34",--,"1,004,010.22","1,599,525.06","686,706.69","2,286,231.75","6,561,569.67",600690
2015-12-31,"2,471,481.50","2,206.99",--,"1,267,365.16","614,139.09","55,687.20","18,373.12","8,582.62","47,857.41",--,"855,924.40",--,--,--,--,"145,106.52","5,486,724.01",--,"283,731.82",--,--,"495,890.83",344.93,"842,054.85","139,147.18",--,"7,409.64",--,--,--,"145,347.07","7,806.42","39,248.49","11,305.31","97,148.31","39,908.41","2,109,343.27","7,596,067.28","187,310.82",770.74,"1,159,688.53","1,471,351.66","317,045.79",--,"123,354.43","90,993.78","1,508.14","13,338.20","605,679.54",--,--,--,"7,289.80",--,"3,978,331.44","29,724.13","110,773.45","5,991.69","3,320.94",--,"189,954.36","11,333.01","26,412.06",--,"377,509.64","4,355,841.07","612,315.43","8,338.32","7,760.45","63,318.35",--,"202,608.53",--,"1,390,577.45","2,269,397.62","970,828.59","3,240,226.21","7,596,067.28",600690
2015-09-30,"2,425,705.00",--,--,"1,644,747.39","727,523.79","108,212.26","21,012.11","5,452.45","56,164.76",--,"574,245.74",--,--,--,--,"33,134.63","5,596,198.14",--,"321,404.46",--,--,"396,359.42","3,021.45","741,799.17","142,401.70",--,"3,402.08",--,--,--,"125,222.67","16,886.00","42,857.15","10,423.63","104,578.30","33,991.66","1,942,347.68","7,538,545.83","111,275.58",--,"1,215,687.28","1,290,533.66","426,676.31",--,"99,091.50","66,723.23","2,652.44","15,984.24","600,025.88",--,--,--,--,--,"3,828,650.13",--,"107,581.26",297.40,--,--,"209,314.43","15,725.83","16,398.70","3,020.78","352,338.40","4,180,988.53","612,315.43","82,454.06","3,948.89","68,984.54",--,"202,410.55",--,"1,478,814.16","2,441,029.85","916,527.45","3,357,557.30","7,538,545.83",600690
