,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资所收到的现金,取得投资收益所收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加:期初现金及现金等价物余额,六、期末现金及现金等价物余额,净利润,少数股东权益,未确认的投资损失,资产减值准备,固定资产折旧、油气资产折耗、生产性物资折旧,无形资产摊销,长期待摊费用摊销,待摊费用的减少,预提费用的增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,递延收益增加（减：减少）,预计负债,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,已完工尚未结算款的减少(减:增加),已结算尚未完工款的增加(减:减少),其他,经营活动产生现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,现金及现金等价物的净增加额,stock_code
2010-06-30,"3,485,539.81","103,354.28","153,421.95","3,742,316.03","2,127,436.03","252,569.13","164,136.34","591,967.74","3,136,109.24","606,206.80","67,442.25","12,140.13","1,737.28",--,--,"81,319.66","203,585.36","43,094.07",--,--,"246,679.44","-165,359.78",--,--,"455,746.49",--,"200,000.00","655,746.49","382,604.83","29,326.79",--,"113,367.80","525,299.43","130,447.06",-548.39,"570,745.69","637,141.13","1,207,886.82",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,207,886.82","637,141.13",--,--,"570,745.69",000333
2010-03-31,"1,262,875.39","48,914.32","51,245.72","1,363,035.43","820,182.45","144,814.98","76,843.11","242,514.76","1,284,355.30","78,680.12","4,964.84","5,529.85","1,520.57",--,--,"12,015.26","84,522.96","36,933.39",--,--,"121,456.35","-109,441.09",--,--,"226,634.51",--,"150,000.00","376,634.51","174,814.08","4,179.19",--,"62,861.67","241,854.93","134,779.57",-99.53,"103,919.07","637,141.13","741,060.20",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"741,060.20","637,141.13",--,--,"103,919.07",000333
2011-12-31,"6,523,037.51","431,818.24","367,248.17","7,330,316.39","3,806,370.10","809,455.59","507,614.65","1,751,361.92","6,919,697.45","410,618.95","23,087.31","41,494.16","8,534.73","3,890.27",--,"77,006.46","678,207.41",--,"291,799.75",--,"970,007.16","-893,000.69","439,437.39","439,437.39","2,557,201.01","450,000.00","81,763.99","3,528,402.40","2,178,376.40","324,079.20","108,711.99",--,"2,502,455.60","1,025,946.80",-46.51,"543,518.54","791,890.91","1,335,409.45","665,187.33",--,--,"2,818.25","211,525.26","11,775.77","34,868.32",--,--,"3,456.38",--,"-5,499.71",--,--,"89,768.62","-80,221.52","21,232.69","-3,117.61","-267,405.61","-682,552.92","409,236.38",--,--,"60,005.07","410,618.95",--,--,--,"1,335,409.45","791,890.91",--,--,"543,518.54",000333
2011-09-30,"6,107,439.07","278,120.63","670,623.36","7,056,183.05","4,395,479.18","535,824.94","388,890.98","1,792,718.57","7,112,913.67","-56,730.62","3,533.86","34,896.64","5,985.81",--,--,"44,416.31","508,178.06","5,148.29","3,000.00",--,"516,326.35","-471,910.04","439,015.00",--,"1,998,614.55","300,000.00","100,248.54","2,837,878.08","1,377,993.03","224,534.91",--,--,"1,602,527.94","1,235,350.14",688.97,"707,398.45","940,537.46","1,647,935.92",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000333
2011-06-30,"4,343,188.87","212,185.18","449,103.76","5,004,477.81","3,229,694.48","374,888.20","245,615.03","1,118,045.49","4,968,243.20","36,234.61","2,863.47","23,316.02","5,265.81",--,--,"31,445.31","367,848.86","15,558.42","3,000.00",--,"386,407.28","-354,961.97","439,015.00",--,"1,054,236.99","300,000.00",--,"1,793,251.99","803,890.55","184,735.77",--,"25,692.23","1,014,318.55","778,933.44","-756,433.44","459,449.60","940,537.46","1,399,987.06",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000333
2011-03-31,"2,264,334.30","125,443.06","227,006.80","2,616,784.17","1,999,220.34","216,815.50","106,598.45","376,939.88","2,699,574.17","-82,790.01","1,893.00","9,527.89","1,146.48",--,--,"12,567.36","181,773.26",--,"51,849.70",--,"233,622.96","-221,055.60","439,015.00",--,"571,043.16","300,000.00",--,"1,310,058.16","395,733.12","10,555.38",--,"40,178.88","446,467.37","863,590.79",-606.36,"559,138.82","940,537.46","1,499,676.28",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000333
2012-12-31,"7,185,298.22","390,019.19","349,442.96","7,936,251.58","4,890,142.12","756,027.64","489,968.71","999,963.75","7,127,294.91","808,956.67","12,458.66","55,422.10","10,410.32",--,--,"78,291.08","281,890.19",--,"196,105.30",--,"477,995.48","-399,704.40","9,214.68","9,214.68","2,305,870.94","100,000.00","99,600.00","2,514,685.61","2,745,130.89","259,576.45","119,107.07",--,"3,004,707.34","-490,021.72",-232.12,"-81,001.58","1,335,409.45","1,254,407.88","614,088.96",--,--,"4,887.64","211,854.32","12,748.83","54,716.82",--,--,"2,238.62",--,"-1,775.29",--,--,"90,469.38","-53,451.82","-6,990.55","3,557.82","296,381.76","-189,486.34","-390,320.41",--,--,"157,083.77","808,956.67",--,--,--,"1,254,407.88","1,335,409.45",--,--,"-81,001.58",000333
2012-09-30,"5,774,037.44","338,708.41","1,825,741.10","7,953,501.42","4,134,334.83","579,493.65","415,765.43","2,418,577.83","7,642,432.39","311,069.03",--,"30,269.42","1,663.67",37.83,--,"31,970.92","261,346.67","10,492.03","177,882.34",--,"449,721.05","-417,750.13",--,--,"1,856,800.59","100,000.00","373,444.62","2,330,245.21","1,843,788.22","180,037.09",--,--,"2,023,825.32","306,419.90",945.38,"200,684.17",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000333
2012-06-30,"4,079,482.45","224,791.09","1,241,821.06","5,560,156.26","3,066,858.42","389,136.65","243,077.90","1,605,907.92","5,549,612.02","10,544.24",--,"17,899.60","1,403.62",--,--,"19,303.21","200,223.99","9,951.42","167,286.40",--,"377,461.81","-358,158.60",--,--,"1,182,822.33","100,000.00","354,116.21","1,636,938.54","1,112,191.65","157,396.02",--,--,"1,269,587.67","367,350.87",42.64,"19,779.15",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000333
2012-03-31,"2,027,316.28","116,891.44","420,043.55","2,567,459.59","1,991,811.51","195,629.15","103,895.08","781,967.68","2,939,627.08","-372,167.49",--,"10,435.64",712.41,--,--,"11,148.04","90,726.53",--,"170,197.88",--,"260,924.41","-249,776.37",--,--,"632,929.93",--,"87,396.33","720,326.26","376,614.86","12,413.59",--,--,"589,028.45","131,297.81",509.11,"-490,136.93",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000333
2013-12-31,"7,733,895.73","379,458.87","301,228.70","8,452,515.42","4,149,502.89","820,743.49","631,904.21","1,313,110.46","7,447,095.78","1,005,419.64",100.00,"101,293.46","42,373.84","24,209.93",315.66,"168,292.89","211,538.94","3,422.14",--,--,"214,961.08","-46,668.19","1,680.41","1,680.41","3,164,020.58",--,--,"3,165,700.99","3,363,340.33","231,373.54","166,207.04","107,400.00","3,702,113.87","-536,412.88",-359.06,"421,979.50","1,254,407.88","1,676,387.38","829,749.64",--,--,"12,271.55","230,187.66","9,791.49","64,495.15",--,--,"16,701.85",13.86,"-54,626.60",--,--,"55,457.53","-99,797.90","-178,207.70","3,763.98","-186,595.88","-487,321.90","1,291,952.98",--,--,--,"1,005,419.64",--,--,--,"1,676,387.38","1,254,407.88",--,--,"421,979.50",000333
2013-09-30,"6,304,232.08","297,634.91","226,841.63","6,876,093.90","3,556,161.99","669,257.16","518,383.20","1,186,707.60","6,333,434.40","542,659.51",100.00,"71,300.55","54,574.92","10,651.47",--,"136,626.94","179,851.73","2,078.17",--,--,"181,929.89","-45,302.95","1,159.60","1,159.60","2,822,410.01",--,--,"2,823,569.62","2,640,948.59","190,491.27","158,503.22","100,120.00","2,931,559.86","-107,990.24","-1,488.14","387,878.17","1,254,407.88","1,642,286.05",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000333
2013-06-30,"4,447,656.38","167,685.10","109,756.97","4,735,891.05","2,460,677.29","471,370.83","353,964.51","839,810.19","4,378,954.69","356,936.36",100.00,"41,487.80","19,240.25","9,129.92",--,"69,957.97","126,889.36",--,--,--,"126,889.36","-56,931.39","1,159.60",--,"1,673,912.61",--,--,"1,675,072.22","1,399,967.83","175,851.97",--,"57,700.00","1,633,519.80","41,552.41","-1,082.99","340,474.39",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000333
2013-03-31,"2,323,798.88","85,621.68","51,065.45","2,465,252.13","1,602,546.41","247,755.07","97,552.00","345,319.30","2,398,524.39","66,727.74",100.00,"10,782.18",436.43,"6,975.00",--,"18,293.61","65,652.52",--,--,--,"65,652.52","-47,358.91",344.62,--,"1,134,648.39",--,--,"1,134,993.01","731,964.81","25,199.03",--,"13,500.00","770,663.84","364,329.17",-87.70,"383,610.29",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000333
2014-12-31,"10,549,909.67","366,166.70","249,418.53","11,221,546.56","5,128,077.16","1,042,638.10","846,541.33","1,560,617.20","8,742,695.45","2,478,851.11",--,"134,543.43","127,349.08",--,--,"261,892.51","267,817.91","2,880,077.54",236.81,--,"3,148,132.26","-2,886,239.75",792.79,792.79,"3,728,884.61",--,--,"3,729,677.40","3,965,430.90","505,259.50","53,005.21",--,"4,470,690.39","-741,012.99",-761.92,"-1,149,163.55","1,676,387.38","527,223.84","1,164,632.87",--,--,"34,981.82","235,944.53","13,341.27","82,755.51",--,--,"21,678.90",--,"65,279.05",--,--,"10,006.91","-151,112.22","-119,842.54","-9,771.54","11,872.92","-785,636.77","2,019,515.25",--,--,"17,634.86","2,478,851.11",--,--,--,"527,223.84","1,676,387.38",--,--,"-1,149,163.55",000333
2014-09-30,"7,805,700.63","290,921.34","175,426.90","8,316,566.31","3,889,539.63","787,685.11","691,301.71","1,260,022.67","6,931,195.91","1,385,370.41","544,002.00","68,283.01","129,939.62",--,--,"742,224.64","161,016.78","2,929,667.53","69,504.49",--,"3,160,188.80","-2,417,964.17",--,--,"3,691,417.61",--,--,"3,691,417.61","3,444,196.95","378,673.74","34,246.44",--,"3,822,870.70","-131,453.09",-809.09,"-1,164,855.94","1,676,387.38","511,531.44",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000333
2014-06-30,"5,037,657.54","191,684.70","123,589.44","5,384,718.98","2,364,007.77","556,277.25","443,263.82","706,177.72","4,067,572.69","1,317,146.28","400,100.00","28,862.67","111,628.33",--,--,"540,591.00","138,896.19","2,648,879.00","1,487.81",--,"2,789,263.01","-2,248,672.00",--,--,"2,480,416.18",--,--,"2,480,416.18","1,636,803.11","364,436.82","26,832.81",--,"2,001,239.93","479,176.25","-1,104.82","-453,454.29","1,676,387.38","1,222,933.10","721,762.81",--,--,"35,143.64","117,619.21","4,512.42","23,275.04",--,--,"5,976.00",--,"78,835.37",--,--,"2,901.00","-42,644.71","-86,282.36","-7,068.40","514,062.08","-894,716.06","828,258.34",--,--,--,"1,317,146.28",--,--,--,"1,222,933.10","1,676,387.38",--,--,"-453,454.29",000333
2014-03-31,"1,919,430.00","95,755.67","99,484.69","2,144,574.17","923,694.21","324,058.47","150,461.29","489,721.17","1,822,192.84","322,381.33",--,"23,604.91","92,513.93",--,--,"116,118.84","90,205.82",--,187.65,--,"90,393.47","25,725.37",--,--,"1,442,020.36",--,--,"1,442,020.36","959,513.45","25,340.50","8,276.07",--,"984,853.95","457,166.42","-1,411.18","803,861.94","1,676,387.38","2,480,249.32",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000333
2015-12-31,"12,590,244.40","390,081.90","321,098.70","13,427,829.00","7,173,322.00","1,049,358.20","832,388.40","1,633,596.60","10,751,403.60","2,676,425.40","4,206,195.90","208,889.90","54,800.90",--,"4,226.90","4,474,113.60","313,093.20","5,931,566.60","28,373.10",--,"6,273,032.90","-1,798,919.30","170,163.00","5,344.00","2,451,527.40",--,"16,671.50","2,638,361.90","2,935,224.30","490,803.10","55,254.50",--,"3,526,027.20","-887,665.30","1,666.90","-8,492.30","527,224.00","518,731.70","1,362,465.50",--,--,476.60,"285,201.70",--,--,--,--,"23,408.30",--,"-8,161.10",--,--,"-31,704.30","-201,126.90","149,753.70",546.80,"465,683.80","376,903.60","215,211.70",--,--,--,"2,676,425.40",--,--,--,"518,731.70","527,224.00",--,--,"-8,492.30",000333
2015-09-30,"9,222,953.12","321,693.71","370,055.61","9,987,548.12","5,383,837.34","877,644.45","674,719.08","1,216,555.66","8,190,499.73","1,797,048.39",673.69,"152,972.88","21,293.96",--,--,"174,940.53","189,820.52","970,381.04",-289.53,--,"1,159,912.02","-984,971.49","165,110.88","1,346.00","1,948,415.99",--,--,"2,113,526.87","2,225,399.69","478,115.33","47,602.83","99,999.77","2,803,514.79","-689,987.92","-1,750.09","120,338.89","527,223.84","647,562.72",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000333
2015-06-30,"6,003,903.49","212,772.96","174,630.12","6,429,269.93","3,272,167.31","613,076.61","513,514.58","789,792.33","5,547,702.74","881,567.19",673.69,"104,210.05","20,528.53",--,--,"125,412.27","116,663.07","891,548.74",-289.53,--,"1,007,922.28","-882,510.01","149,343.13","1,346.00","1,278,228.54",--,--,"1,427,571.67","938,806.41","461,494.37","37,834.74",--,"1,400,300.78","27,270.89","-2,837.28","23,490.79","527,223.84","550,714.62","894,856.76",--,--,"27,683.22","112,298.39","4,566.28","27,528.68",--,--,"3,927.21",--,"21,746.40",--,--,"4,325.49","-118,120.49","-40,606.44",-51.39,"484,975.11","-1,516,569.58","1,289,647.46",--,--,"11,345.31","881,567.19",--,--,--,"550,714.62","527,223.84",--,--,"23,490.79",000333
2015-03-31,"2,557,806.27","112,128.18","120,729.81","2,804,707.37","1,610,050.33","347,271.14","200,094.59","260,824.12","2,554,835.83","249,871.54",238.05,"49,298.88",881.04,--,--,"50,417.97","52,382.90","115,571.92",--,--,"167,954.82","-117,536.86",--,--,"588,303.84",--,--,"588,303.84","443,387.69","12,413.40","11,943.24",--,"455,801.08","132,502.76","-8,069.86","256,767.57","527,223.84","783,991.41",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000333
2016-12-31,"15,332,427.30","512,440.20","313,928.60","16,265,881.20","8,944,065.40","1,165,274.00","882,434.20","2,180,272.90","13,596,380.30","2,669,500.90","7,390,522.00","195,404.90","19,115.90","27,289.90",--,"7,632,332.70","232,343.00","9,088,072.50","290,025.60",--,"9,610,441.10","-1,978,108.40","81,484.50","3,259.30","3,242,202.70","199,950.00",--,"3,523,637.20","2,696,114.30","604,635.50","56,332.00","6,946.20","3,507,646.00","15,991.20","25,257.60","732,641.30","518,731.70","1,251,373.00","1,586,191.20",--,--,"38,081.20","357,800.00",--,--,--,--,"11,187.40",--,"-11,737.60",--,--,"-64,894.90","-128,596.10","-76,022.80","-6,150.10","-374,168.30","-84,186.20","1,367,305.70",--,--,--,"2,669,500.90",--,--,--,"1,251,373.00","518,731.70",--,--,"732,641.30",000333
2016-09-30,"11,221,663.20","412,461.80","220,182.80","11,945,407.50","6,367,270.60","867,352.00","682,873.40","1,542,597.30","10,041,658.00","1,903,749.50","4,898,066.90","133,959.00","17,057.00","27,289.90",--,"5,076,372.80","160,542.50","6,507,195.70","185,678.70",--,"6,853,416.90","-1,777,044.10","65,162.80","1,601.70","2,881,781.60","199,950.00",--,"3,146,894.40","2,374,809.40","572,814.20","41,728.70",--,"2,947,623.60","199,270.80","10,183.40","336,159.60","518,731.70","854,891.30",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000333
2016-06-30,"6,785,914.80","279,718.60","153,799.00","7,275,372.80","3,944,876.80","566,054.30","474,310.60","946,605.30","6,462,456.50","812,916.30","2,877,525.30","82,480.50","1,691.90","27,289.90",--,"2,988,987.60","107,641.10","4,329,340.90","185,678.70",--,"4,622,660.70","-1,633,673.10","4,555.20","1,581.00","2,780,607.60","199,950.00",--,"2,985,112.80","1,104,461.20","556,006.90","29,784.10",--,"1,660,468.10","1,324,644.70","7,062.00","510,949.90","518,731.70","1,029,681.60","1,023,089.80",--,--,"25,181.00","157,225.50",--,--,--,--,"2,860.10",--,"52,508.90",--,--,"-27,369.20","-71,408.20","-35,668.50",-139.10,"226,444.60","-1,045,849.90","483,086.20",--,--,--,"812,916.30",--,--,--,"1,029,681.60","518,731.70",--,--,"510,949.90",000333
2016-03-31,"3,205,684.70","158,878.50","156,457.00","3,573,862.60","1,751,272.90","325,436.90","200,348.50","444,166.90","2,914,360.20","659,502.40","1,684,649.60","40,610.50",298.70,--,--,"1,725,558.80","48,433.10","2,633,151.70",--,--,"2,681,584.80","-956,026.00","1,923.40",--,"777,333.50",--,--,"779,256.90","284,765.80","14,244.30","10,654.30",--,"299,010.10","480,246.80",-234.70,"183,488.50","518,731.70","702,220.20",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,000333
