,货币资金,交易性金融资产,衍生金融资产,应收票据,应收账款,预付款项,应收利息,应收股利,其他应收款,买入返售金融资产,存货,划分为持有待售的资产,一年内到期的非流动资产,待摊费用,待处理流动资产损益,其他流动资产,流动资产合计,发放贷款及垫款,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,投资性房地产,固定资产净额,在建工程,工程物资,固定资产清理,生产性生物资产,公益性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,短期借款,交易性金融负债,应付票据,应付账款,预收款项,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,预提费用,一年内的递延收益,应付短期债券,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款,长期应付职工薪酬,专项应付款,预计非流动负债,递延所得税负债,长期递延收益,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),资本公积,减：库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未分配利润,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,stock_code
2014-12-31,"5,454,567.34",--,"8,417.75","5,048,057.14","266,134.76","159,148.74","124,214.60",--,"38,059.85",--,"859,909.81",--,--,--,--,"55,837.89","12,014,347.88","644,170.36","215,009.89",--,--,"9,221.31","50,790.15","1,493,927.96","125,434.72",--,772.14,--,--,--,"248,029.40",--,--,"2,094.83","819,296.20",--,"3,608,746.97","15,623,094.85","357,877.33",--,"688,196.31","2,678,495.25","642,772.24",--,"155,049.82","830,887.21","3,617.79",70.79,"254,637.73",--,--,--,"206,149.09","4,858,531.29","10,838,852.21","225,896.93",--,--,"10,671.62",--,--,"25,684.67","8,844.32",--,"271,097.54","11,109,949.75","300,786.54","319,126.61",--,"1,774.67",--,"295,808.86","13,636.41","3,484,132.40","4,415,265.48","97,879.62","4,513,145.10","15,623,094.85",000651
2014-09-30,"5,829,104.99","26,982.40",--,"5,034,168.69","251,557.21","254,191.70","103,598.23",--,"44,176.52",--,"1,083,249.35",--,--,--,--,"9,463.37","12,636,492.46","537,860.42","97,794.44",--,--,"8,736.51","51,467.17","1,446,251.81","161,867.19",--,933.29,--,--,--,"249,435.11",--,--,"2,547.25","757,002.08",--,"3,313,895.27","15,950,387.73","453,848.49",--,"774,345.24","2,935,876.36","1,625,434.26",--,"132,192.57","697,958.26","5,179.14",70.79,"354,753.37",--,--,--,"117,551.64","4,361,256.84","11,603,144.19","254,991.40",--,--,--,--,--,"6,870.20",--,"8,122.84","269,984.43","11,873,128.62","300,786.54","315,139.77",--,"2,902.03",--,"295,808.86","4,711.41","3,064,515.75","3,983,864.35","93,394.76","4,077,259.11","15,950,387.73",000651
2014-06-30,"5,779,776.14","12,000.00",--,"1,992,350.22","510,393.14","183,379.77","89,992.11",--,"37,945.86",--,"1,248,681.07",--,--,--,--,"8,156.83","9,862,675.14","481,407.44","97,495.44",--,--,"8,911.75","50,359.31","1,444,122.45","156,134.98",--,614.95,--,--,--,"244,772.30",--,--,"3,127.77","670,934.76",--,"3,157,881.15","13,020,556.29","515,102.76","3,448.80","959,443.85","2,683,854.91","214,305.23",--,"105,494.77","361,409.97","2,346.38",70.79,"395,408.14",--,--,--,"123,061.00","3,655,186.76","9,106,755.56","221,712.69",--,--,--,--,--,"16,985.33",--,"5,157.92","243,855.94","9,350,611.50","300,786.54","317,444.36",--,--,--,"295,808.86","4,711.41","2,660,191.86","3,578,800.90","91,143.89","3,669,944.79","13,020,556.29",000651
2014-03-31,"6,095,404.67","13,347.77",--,"2,449,714.83","279,383.26","219,943.35","69,514.42",--,"61,311.55",--,"1,345,473.92",--,--,--,--,"6,593.08","10,540,686.85","463,772.63","85,021.85",--,--,"9,615.41","51,044.19","1,403,297.51","186,320.64",--,"2,952.47",--,--,--,"240,147.92",--,--,"3,691.38","683,860.19",--,"3,129,724.19","13,670,411.04","284,316.61",--,"956,312.50","2,485,930.59","1,154,012.60",--,"157,921.39","642,131.78","1,497.36",70.79,"436,807.01",--,--,--,"143,773.51","3,334,706.56","9,753,342.50","121,508.52",--,--,--,--,--,"25,880.43",--,"3,968.27","151,357.22","9,904,699.72","300,786.54","308,862.45",--,--,--,"295,808.86","4,711.41","2,765,022.68","3,675,174.01","90,537.31","3,765,711.32","13,670,411.04",000651
2015-12-31,"8,881,979.86",--,--,"1,487,980.55","287,921.21","84,792.92","110,977.65",--,"25,401.66","100,000.00","947,394.27",--,--,--,--,"168,483.35","12,094,931.46","787,261.90","270,471.92",--,--,"9,545.92","49,154.09","1,543,181.31","204,483.78",--,"2,201.01",--,--,--,"265,614.38",--,--,818.24,"876,437.61","65,700.01","4,074,870.17","16,169,801.63","627,666.01",--,"742,763.58","2,479,426.84","761,959.80",--,"169,728.26","297,780.15","4,838.67",70.79,"260,760.19",--,--,--,"240,374.56","5,500,785.19","11,262,518.10",--,--,--,"12,751.85",--,--,"24,413.66","13,457.17",--,"50,622.68","11,313,140.77","601,573.09","18,595.06",--,"-12,492.85",--,"349,967.16","20,776.41","3,773,718.75","4,752,137.61","104,523.25","4,856,660.86","16,169,801.63",000651
2015-09-30,"8,403,850.99",--,--,"3,170,683.28","298,334.68","195,562.59","99,744.28",--,"39,079.44",--,"669,583.45",--,--,--,--,"138,696.71","13,015,535.42","757,644.10","256,606.06","9,000.00",--,"8,846.11","50,067.69","1,519,553.20","179,434.42",--,"3,167.01",--,--,--,"262,444.64",--,--,"1,098.07","965,660.80",--,"4,013,522.10","17,029,057.52","945,328.45",--,"794,246.74","2,527,676.42","1,532,106.68",--,"124,208.39","317,960.30","10,518.08",70.79,"252,364.32",--,--,--,"264,530.57","5,485,450.42","12,391,125.92",--,--,--,"10,671.62",--,--,"21,122.15","10,453.22",--,"42,246.99","12,433,372.92","601,573.09","18,595.06",--,"-13,279.65",--,"295,808.86","13,636.41","3,577,044.91","4,493,378.67","102,305.93","4,595,684.60","17,029,057.52",000651
2015-06-30,"8,686,697.31",--,"17,602.54","1,778,364.08","511,511.04","256,780.90","101,446.50","3,067.70","61,202.41",--,"966,702.07",--,--,--,--,"117,347.75","12,500,722.31","702,403.22","307,444.95",--,--,"8,973.54","50,563.61","1,509,207.76","157,497.48",--,"1,052.35",--,--,--,"255,175.10",--,--,"1,430.07","903,047.94",--,"3,896,796.01","16,397,518.33","832,112.77",--,"725,610.24","2,833,282.46","573,189.99",--,"118,206.75","262,512.57","6,630.41","902,430.42","251,487.64",--,--,--,"458,332.49","5,111,415.77","12,104,190.00","33,094.74",--,--,"10,671.62",--,--,"27,806.79","10,355.97",--,"81,929.12","12,186,119.13","300,786.54","319,126.61",--,"28,275.97",--,"295,808.86","13,636.41","3,153,848.13","4,111,482.52","99,916.68","4,211,399.20","16,397,518.33",000651
2015-03-31,"7,944,130.75",--,"8,094.91","2,988,450.71","388,947.28","262,015.81","84,467.41",--,"58,282.02",--,"608,974.14",--,--,--,--,"84,647.19","12,428,010.21","760,675.01","211,097.79",--,--,"8,801.59","50,612.73","1,498,924.52","160,637.06",--,773.61,--,--,--,"246,603.95",--,--,"1,782.62","893,029.20",--,"3,832,938.08","16,260,948.29","495,321.29",--,"728,038.17","2,566,896.31","866,735.65",--,"150,478.89","702,404.75","3,366.19",70.79,"265,328.01",--,--,--,"323,386.63","5,051,999.14","11,319,140.65","112,709.86",--,--,"10,671.62",--,--,"16,722.05","9,013.00",--,"149,116.53","11,468,257.18","300,786.54","319,381.61",--,"2,116.30",--,"295,808.86","13,636.41","3,761,668.26","4,693,397.98","99,293.13","4,792,691.11","16,260,948.29",000651
2016-12-31,"9,561,313.07",--,"25,084.84","2,996,335.55","296,053.47","181,494.58","104,554.26",--,"24,498.42",--,"902,490.52",--,--,--,--,"199,253.65","14,291,078.35","473,718.42","138,430.36",--,--,"10,391.32","59,773.66","1,768,165.55","58,154.38",--,"3,694.96",--,--,--,"335,527.63",--,--,105.13,"966,771.72","131,159.03","3,945,892.15","18,236,970.50","1,070,108.16",--,"912,733.69","2,954,146.69","1,002,188.55",--,"170,294.94","312,630.28","4,178.20","8,773.28","222,261.40",--,--,--,--,"5,975,884.86","12,687,627.97",--,--,--,"11,773.21",--,--,"28,000.94","17,208.10",--,"56,982.25","12,744,610.23","601,573.09","18,340.06",--,"-17,717.20",--,"349,967.16","26,737.06","4,407,494.96","5,386,395.13","105,965.15","5,492,360.28","18,236,970.50",000651
2016-09-30,"9,723,368.27",--,--,"2,735,516.31","352,325.81","431,827.79","73,533.11",--,"23,216.95",--,"502,704.84",--,--,--,--,"103,363.94","13,945,857.02","701,005.97","136,557.80",--,--,"10,065.74","59,431.39","1,672,439.14","115,441.02",--,"4,146.12",--,--,--,"327,323.88",--,--,"2,518.78","1,087,729.34","108,230.65","4,224,889.84","18,170,746.86","1,019,926.87",--,"819,916.16","2,909,645.73","1,174,168.45",--,"164,291.30","372,830.97","5,261.10",70.79,"291,860.74",--,--,--,--,"6,197,508.96","13,044,486.37",--,--,--,"12,751.85",--,--,"10,028.03","17,111.31",--,"39,891.19","13,084,377.55","601,573.09","18,840.06",--,"-10,915.67",--,"349,967.16","20,776.41","3,994,265.04","4,974,506.08","111,863.22","5,086,369.31","18,170,746.86",000651
2016-06-30,"9,942,133.83",--,--,"1,077,571.97","591,151.61","217,476.87","94,262.91","5,600.54","22,506.75",--,"556,065.08",--,--,--,--,"154,394.30","12,661,163.86","906,586.02","272,486.37",--,--,"9,631.29","57,925.82","1,676,510.52","108,086.70",--,"4,514.35",--,--,--,"305,957.49",--,--,"2,531.00","1,090,597.81","113,090.04","4,547,917.42","17,209,081.28","688,841.34",--,"881,093.24","2,444,244.72","461,223.46",--,"179,554.25","362,456.78","6,153.59","902,430.42","248,051.63",--,--,--,"36,104.49","6,123,747.45","12,560,564.81",--,--,--,"12,751.85",--,--,"19,866.58","15,767.86",--,"48,386.29","12,608,951.10","601,573.09","18,595.06",--,"-11,263.97",--,"349,967.16","20,776.41","3,511,606.12","4,491,253.86","108,876.32","4,600,130.18","17,209,081.28",000651
